"Data Source","IDA Results Measurement System",

"Last Updated Date","2018-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Afghanistan","AFG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Burundi","BDI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","3.71098706429802","","","","","","","","","","-2.48151407149891","","","","","-2.23892147869333","","",
"East Asia & Pacific (IBRD only)","BEA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.102720523257844","","","","","","","","","","-0.538287602072884","","","","","-0.467377095250868","","",
"Europe & Central Asia (IBRD only)","BEC","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.0209668605442488","","","","","","","","","","-0.0980089488362665","","","","","-0.0742906348952346","","",
"Benin","BEN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.28711469350678","","","","","","","","","","1.0348303476035","","","","","1.06359801061946","","",
"Burkina Faso","BFA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.911314008207611","","","","","","","","","","1.00276716635304","","","","","1.02910049345631","","",
"Bangladesh","BGD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.175407546013176","","","","","","","","","","0.17853934185257","","","","","0.179345857733239","","",
"Latin America & Caribbean (IBRD only)","BLA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.437549408079192","","","","","","","","","","0.415837887624576","","","","","0.348441271146243","","",
"Middle East & North Africa (IBRD only)","BMN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.265391695083267","","","","","","","","","","-1.33415018013612","","","","","-0.904143640835642","","",
"South Asia (IBRD only)","BSA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.224650338848974","","","","","","","","","","-0.65333892264978","","","","","-0.52015883322693","","",
"Sub-Saharan Africa (IBRD only)","BSS","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.279396484973375","","","","","","","","","","0.289076902861865","","","","","0.225411594817956","","",
"Bhutan","BTN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.389208881438435","","","","","","","","","","-0.374626344052459","","","","","-0.371190914959001","","",
"Central African Republic","CAF","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.0693650541382311","","","","","","","","","","0.0698495679827431","","","","","0.0699721128872","","",
"Cote d'Ivoire","CIV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.103217164270774","","","","","","","","","","-0.0723819085137904","","","","","-0.046966371259046","","",
"Cameroon","CMR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.943849923098909","","","","","","","","","","1.04230891428729","","","","","1.07150970621751","","",
"Congo, Dem. Rep.","COD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.195902452633206","","","","","","","","","","0.19981704420421","","","","","0.200828705828755","","",
"Congo, Rep.","COG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.0750571934947146","","","","","","","","","","0.0644711703189529","","","","","0.0659177641652633","","",
"Comoros","COM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.847962427898281","","","","","","","","","","1.42081817641791","","","","","1.29648611148868","","",
"Cabo Verde","CPV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-3.57950392426891","","","","","","","","","","-0.359578071389222","","","","","-0.607717388758644","","",
"East Asia & Pacific (IDA total)","DEA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.431865904619158","","","","","","","","","","-0.0219496829712682","","","","","0.113449363396327","","",
"Europe & Central Asia (IDA total)","DEC","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.418045651502126","","","","","","","","","","0.116757500599007","","","","","0.177589183142473","","",
"IDA countries classified as fragile situations","DFS","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.488569925906191","","","","","","","","","","0.477208934932492","","","","","0.500994896698856","","",
"Djibouti","DJI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Latin America & Caribbean (IDA total)","DLA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.577431232944264","","","","","","","","","","0.691092105858871","","","","","0.634819023754545","","",
"Dominica","DMA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.547283532184935","","","","","","","","","","0.578978397487347","","","","","0.586931508614768","","",
"Middle East & North Africa (IDA total)","DMN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"IDA countries not classified as fragile situations","DNF","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.626854421546014","","","","","","","","","","0.477559041051848","","","","","0.474804096806793","","",
"South Asia (IDA total)","DSA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.937609715494162","","","","","","","","","","0.532425938103458","","","","","0.464741641263899","","",
"Sub-Saharan Africa (IDA total)","DSS","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.598708419685039","","","","","","","","","","0.561835156904152","","","","","0.55264606344511","","",
"Eritrea","ERI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.281136582044084","","","","","","","","","","0.282758683630107","","","","","0.28479595541485","","",
"Ethiopia","ETH","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.97759985134284","","","","","","","","","","1.07900377334215","","","","","0.612198969643984","","",
"Micronesia, Fed. Sts.","FSM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.0218965630829757","","","","","","","","","","-0.0421997603360182","","","","","-0.0426742501788908","","",
"Ghana","GHA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.322169670976407","","","","","","","","","","-0.316478301656574","","","","","-0.313309790768585","","",
"Guinea","GIN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.507007232608274","","","","","","","","","","0.534092173721177","","","","","0.541487597395587","","",
"Gambia, The","GMB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.421768559734971","","","","","","","","","","-0.404697305907973","","","","","-0.380169905179145","","",
"Guinea-Bissau","GNB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.441897548864077","","","","","","","","","","0.472171430130402","","","","","0.481290285321805","","",
"Grenada","GRD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Guyana","GUY","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.0228325690507347","","","","","","","","","","0.0277086909705559","","","","","0.0386073511224083","","",
"Honduras","HND","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.38364599001754","","","","","","","","","","2.05781426746451","","","","","2.1807472525612","","",
"Haiti","HTI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.620490048906532","","","","","","","","","","0.759375716341708","","","","","0.774564030464106","","",
"IDA total","IDA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.569669667580314","","","","","","","","","","0.477413610689794","","","","","0.485671660994456","","",
"IDA blend","IDB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.542985277900414","","","","","","","","","","0.525270260798379","","","","","0.575802596796109","","",
"IDA only","IDX","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.579055615752424","","","","","","","","","","0.460596179312446","","","","","0.4541762445958","","",
"Kenya","KEN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.79750834474028","","","","","","","","","","-1.74794585862278","","","","","-1.44796448071787","","",
"Kyrgyz Republic","KGZ","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.263597565457488","","","","","","","","","","2.34489403273965","","","","","1.96826522900857","","",
"Cambodia","KHM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.13642636968254","","","","","","","","","","1.33498761807105","","","","","1.32174618439326","","",
"Kiribati","KIR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Lao PDR","LAO","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.652983701049024","","","","","","","","","","-0.754209334166916","","","","","-0.849372253160112","","",
"Liberia","LBR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.6259851545272","","","","","","","","","","0.667803153506412","","","","","0.679473591755752","","",
"St. Lucia","LCA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.278698792993836","","","","","","","","","","0.286689317866234","","","","","0.288784184813935","","",
"Lesotho","LSO","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.489093819851178","","","","","","","","","","-0.466283892138122","","","","","-1.0329698747468","","",
"Moldova","MDA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.155645131570736","","","","","","","","","","-1.76635732523135","","","","","-1.56526824019588","","",
"Madagascar","MDG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.499694310127381","","","","","","","","","","0.366898717276001","","","","","0.287258067795179","","",
"Maldives","MDV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Marshall Islands","MHL","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.280435729731224","","","","","","","","","","0","","","","","0","","",
"Mali","MLI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.24875279107761","","","","","","","","","","1.42724634539069","","","","","1.48357452836477","","",
"Myanmar","MMR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.16877930288784","","","","","","","","","","0.925219564855212","","","","","1.21167193776671","","",
"Mongolia","MNG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.673359966758539","","","","","","","","","","-1.07493057008855","","","","","-0.460409774293154","","",
"Mozambique","MOZ","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.51671489548346","","","","","","","","","","0.551508698264897","","","","","0.546109950205576","","",
"Mauritania","MRT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.65780914908147","","","","","","","","","","2.66352590138406","","","","","2.27392144921188","","",
"Malawi","MWI","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.878374346623616","","","","","","","","","","0.966082462915679","","","","","0.831690744461383","","",
"Niger","NER","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","3.74399186644902","","","","","","","","","","0.975458280366354","","","","","1.00091014913444","","",
"Nigeria","NGA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.67800316388612","","","","","","","","","","3.66767838575718","","","","","4.11636532125436","","",
"Nicaragua","NIC","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.67093412325556","","","","","","","","","","2.0072846630341","","","","","1.34270706848153","","",
"Nepal","NPL","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.08960648218999","","","","","","","","","","0.698473026845392","","","","","0.466192445962207","","",
"Pakistan","PAK","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.75939187795289","","","","","","","","","","2.24028159516439","","","","","2.39033780596323","","",
"Papua New Guinea","PNG","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.00803216478347224","","","","","","","","","","0.00803862153708224","","","","","0.00813955666633603","","",
"Rwanda","RWA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.788999067606497","","","","","","","","","","-2.63078284360039","","","","","-2.24580996610351","","",
"Sudan","SDN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.582664527868644","","","","","","","","","","0.618726303154489","","","","","2.7046648803767","","",
"Senegal","SEN","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.492143827138648","","","","","","","","","","0.488223248585101","","","","","0.484352095015666","","",
"Solomon Islands","SLB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.243617301460162","","","","","","","","","","0.245192159726102","","","","","0.248241751411314","","",
"Sierra Leone","SLE","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.647131598955951","","","","","","","","","","0.691924900380599","","","","","-0.273066326578373","","",
"Somalia","SOM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.967127567143891","","","","","","","","","","1.07224068995691","","","","","1.10320990276661","","",
"South Sudan","SSD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0.437068290888305","","","","","0.291591528056543","","",
"Syrian Arab Republic","SYR","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-1.50655314322574","","","","","","","","","","-1.28841484866162","","","","","-0.857109256946671","","",
"Chad","TCD","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.580164426968594","","","","","","","","","","1.37512304246641","","","","","1.72198815419641","","",
"Togo","TGO","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","3.37387357355068","","","","","","","","","","5.1309475787219","","","","","6.13548539277001","","",
"Tajikistan","TJK","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.0489118108690576","","","","","","","","","","0","","","","","-0.0324465270884104","","",
"Timor-Leste","TLS","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.2247643573138","","","","","","","","","","1.39598400752232","","","","","1.44974561073187","","",
"Tonga","TON","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Tuvalu","TUV","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Tanzania","TZA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.739432898621644","","","","","","","","","","0.79850605278142","","","","","0.795215816131886","","",
"Uganda","UGA","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","2.03264789905143","","","","","","","","","","3.3457960802952","","","","","4.06232608258847","","",
"Uzbekistan","UZB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.535356890106058","","","","","","","","","","-0.195959080399447","","","","","-0.0163780549832495","","",
"St. Vincent and the Grenadines","VCT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-0.392977270220058","","","","","","","","","","-0.378116342765367","","","","","-0.25191897047641","","",
"Vanuatu","VUT","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Samoa","WSM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","-2.77921014168641","","","","","","","","","","0","","","","","0","","",
"Kosovo","XKX","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","",
"Zambia","ZMB","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","0.320102104494552","","","","","","","","","","0.330688438471924","","","","","0.333484047063564","","",
"Zimbabwe","ZWE","Annual deforestation (% of change)","ER.FST.DFST.ZG","","","","","","","","","","","1.58357685396116","","","","","","","","","","1.88241913638575","","","","","1.94986134010159","","",
